Multistable grid active-learning experiment summary
===============================================
experiment_name = multistable_grid_escape_v1
steps = 42
dt = 0.12, u_max = 0.24
planning horizon = 16, gamma = 0.97
action_penalty = 1.0

attractor_centers = 0:(np.float64(-1.5), np.float64(-1.5)), 1:(np.float64(-1.5), np.float64(0.0)), 2:(np.float64(-1.5), np.float64(1.5)), 3:(np.float64(0.0), np.float64(-1.5)), 4:(np.float64(0.0), np.float64(0.0)), 5:(np.float64(0.0), np.float64(1.5)), 6:(np.float64(1.5), np.float64(-1.5)), 7:(np.float64(1.5), np.float64(0.0)), 8:(np.float64(1.5), np.float64(1.5))
start_state = (-1.4500, -1.3500), start_basin = 0

Random single-action escape test:
escape_probability = 0.000000
random single action insufficient? YES

Final state / basin:
myopic   z_T = (-1.4694, -1.5294), basin = 0
planning z_T = (1.5252, 0.8769), basin = 8

Policy-level stats:
myopic   path_length = 0.180476
planning path_length = 9.363592
myopic   mean_step_score = 0.024121
planning mean_step_score = 0.041259
myopic   final diag(Lambda) = (0.039039, 0.049054)
planning final diag(Lambda) = (1.741134, 0.205338)

Basin trajectory IDs per step:
myopic   = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
planning = [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8]

Per-step comparison (t, score_myopic, score_planning, state_distance):
0, 0.044636, -0.003036, 0.000000
1, 0.041286, 0.046616, 0.240000
2, 0.038797, -0.023688, 0.154077
3, 0.036838, -0.016208, 0.141316
4, 0.035222, 0.037688, 0.149543
5, 0.033837, -0.015717, 0.095810
6, 0.032615, -0.077423, 0.249210
7, 0.031516, 0.034256, 0.290193
8, 0.030510, -0.018749, 0.186413
9, 0.029581, -0.065644, 0.356502
10, 0.028715, -0.075224, 0.519534
11, 0.027903, -0.064693, 0.559512
12, 0.027140, -0.053877, 0.659913
13, 0.026419, 0.009914, 0.843258
14, 0.025737, -0.003912, 0.964361
15, 0.025089, 0.019670, 0.996967
16, 0.024474, 0.030929, 1.408038
17, 0.023889, 0.077579, 1.468223
18, 0.023331, -0.002463, 1.472355
19, 0.022799, 0.020872, 1.753208
20, 0.022291, 0.064261, 1.937562
21, 0.021805, -0.021537, 2.007019
22, 0.021339, 0.039194, 2.058080
23, 0.020893, 0.010884, 2.141333
24, 0.020466, 0.073803, 2.293071
25, 0.020055, 0.168259, 2.652087
26, 0.019661, 0.111428, 2.766629
27, 0.019282, 0.128562, 3.110755
28, 0.018917, 0.120192, 3.333010
29, 0.018566, 0.104707, 3.478004
30, 0.018228, 0.098869, 3.578364
31, 0.017901, 0.163106, 3.668554
32, 0.017586, 0.140397, 3.513882
33, 0.017282, 0.098995, 3.445278
34, 0.016989, 0.073485, 3.631023
35, 0.016705, 0.079901, 3.848036
36, 0.016431, 0.090930, 3.993588
37, 0.016165, 0.064421, 3.881962
38, 0.015908, 0.048936, 3.819424
39, 0.015659, 0.041955, 3.794933
40, 0.015417, 0.089646, 3.817971
41, 0.015183, 0.085577, 3.808932
