Toy 2D Poisson active-learning summary
====================================
show_step = 16
argmax J_0      = (2.300, 2.300)
argmax J_show   = (-0.690, 2.300)
start state     = (-1.800, -1.300)
state@show_step = (1.460, 2.300)
final state     = (-0.220, 2.300)

Qualitative informativeness diagnostics (from J_0 map):
corr(J_0, lambda) = 0.9252
corr(J_0, speed)  = -0.3932
mean(lambda | top 5% J_0) / mean(lambda) = 4.672
mean(speed  | top 5% J_0) / mean(speed)  = 0.954

Precision diagonal trajectory:
t, Lambda11, Lambda22
0, 0.060000, 0.003000
1, 0.061917, 0.004382
2, 0.065098, 0.006284
3, 0.070638, 0.008813
4, 0.080709, 0.012013
5, 0.099503, 0.015853
6, 0.134506, 0.020285
7, 0.197772, 0.025369
8, 0.306813, 0.031378
9, 0.485520, 0.038840
10, 0.766096, 0.048577
11, 1.192802, 0.061776
12, 1.827840, 0.080126
13, 2.756646, 0.105943
14, 3.685452, 0.131760
15, 4.305109, 0.150248
16, 4.708382, 0.164064
17, 4.959875, 0.175156
18, 5.107245, 0.184947
19, 5.188007, 0.194299
20, 5.230698, 0.203299
